,headline,category,short_description,date,Subjectivity,Polarity,Content Subjectivity,Content Polarity
27,Child Labor In Palm Oil Industry Tied To Girl Scout Cookies,BUSINESS,"“I am dreaming one day I can go back to school,"" said a 10-year-old Indonesian girl who works at a palm oil plantation that helps produce the cookies and other Western brand items.",2020-12-29,0.0,0.0,0.125,-0.041666666666666664
28,"Robert Murray, Controversial Coal Baron, Dead At 80",BUSINESS,Murray fought federal mine safety regulations for years.,2020-10-26,0.675,0.17500000000000002,0.0,0.0
29,Google's Alphabet Settles With Shareholders Over Payoffs To Execs Accused Of Harassment,BUSINESS,"Android creator Andy Rubin, accused of sexual harassment, was given a severance package worth $240 million, according to the lawsuit.",2020-09-26,0.0,0.0,0.4666666666666667,0.4
30,White Workers Are Getting Hired Back Twice As Fast As Black Workers,BUSINESS,Nearly all the improvement in the unemployment rate over the past few months has been for white workers.,2020-09-15,0.2583333333333333,0.008333333333333338,0.1875,-0.0875
31,"An Elite Consulting Firm Said 'Black Lives Matter,' But Staffers Never Got The Message",BUSINESS,"Partners at Red Associates described Black women as “angry” and “scary,” and one person was asked to use eugenicist-approved “The Bell Curve” in research.",2020-08-17,0.4166666666666667,-0.18333333333333335,0.6083333333333334,-0.29166666666666663
32,Coronavirus Tore Through This Meatpacking Plant With Incredible Speed,BUSINESS,"About 67 Smithfield workers a day were contracting the virus at the peak of the outbreak, the CDC found.",2020-08-07,0.9,0.9,0.0,0.0
33,The Election Could Ultimately Decide The Dakota Access Pipeline’s Fate,BUSINESS,The controversial oil route once again fended off an order to shut down -- for now.,2020-08-05,1.0,0.0,0.6194444444444445,0.19722222222222224
34,Former Best Buy Employee Details Horrific Sexual Harassment And Retaliation,BUSINESS,"As a member of the Geek Squad, harassment was constant, a former Best Buy employee says in a new lawsuit.",2020-07-30,0.5333333333333333,0.125,0.271969696969697,0.28409090909090906
35,Store Mask Requirements Aren't Really Requirements If They Aren't Enforced,BUSINESS,"A recent memo at one grocery chain said to provide masks at the door, but if the customer refuses to wear it, ""let them shop.""",2020-07-26,0.2,0.2,0.25,0.0
36,Trader Joe's Says It's Rebranding Some Products After Petition Calls Them Racist,BUSINESS,"The brand claims it decided to repackage products labeled ""Trader Ming's,"" ""Trader Giotto's,"" ""Arabian Joe,"" and more ""several years ago,"" not because of the petition.",2020-07-20,0.0,0.0,0.25,0.25
37,Turns Out Shake Shack Founder Took At Least $11 Million In Coronavirus Aid After All,BUSINESS,Does this mean we all get free hamburgers?,2020-07-12,0.4,-0.3,0.74375,0.04375000000000001
38,Where's My Stimulus Check? How To Track Your Coronavirus Relief Payment.,MONEY,"If your check was sent but you never got it, you may need to contact the IRS to trace the payment.",2020-06-16,0.0,0.0,0.0,0.0
39,"How Weight Watchers Fired Workers Via Zoom, The New Cruel COVID-19 Layoff Tool",BUSINESS,Many of them were devoted longtime members of the iconic weight-loss program. They’re heartbroken.,2020-05-22,0.7272727272727273,-0.4318181818181818,0.5,0.5
40,Do You Have To Pay Taxes On Your Coronavirus Stimulus Check?,MONEY,"Getting a payment won't mean a higher tax bill for 2020, but the amount of your stimulus money could ultimately change.",2020-05-08,0.0,0.0,0.7291666666666666,-0.020833333333333332
41,Lululemon Apologizes For Art Director's Post About Racist 'Bat Fried Rice' T-Shirt,BUSINESS,"The athletic apparel brand said the offensive shirt wasn't its product and the executive who promoted it on Instagram is ""no longer an employee.""",2020-04-22,0.0,0.0,0.0,0.0
42,Land O'Lakes Removing Native American Woman From Packaging After 92 Years,BUSINESS,Photos of members of the farmer-owned cooperative will replace the logo used since 1928.,2020-04-15,0.0,0.0,0.0,0.0
43,She’s A Furloughed Single Mom Of 3. The Utility Is Shutting Off Her Power Anyway.,BUSINESS,"Despite extra federal funding, many of Tennessee’s power providers are still cutting off service to families who can’t pay during the coronavirus pandemic.",2020-04-11,0.21428571428571427,-0.07142857142857142,0.5,-0.033333333333333326
44,Four Seasons Offers Free Rooms To NYC Health Care Workers Responding To Coronavirus,BUSINESS,"Several other luxury hotels stepped up later to offer beds to medical workers in the midst of the pandemic, Gov. Andrew Cuomo said.",2020-03-26,0.4,0.25,0.09375,-0.03125
45,Restoration Hardware Sees Itself As 'Critical Infrastructure' During Coronavirus Outbreak,BUSINESS,Employees at the company's California call center have been told to continue working despite a statewide shelter-in-place order.,2020-03-22,0.8,0.0,0.1,-0.1
46,Utilities Face Pressure To Stop Shutting Off Services Amid Coronavirus Pandemic,BUSINESS,"Companies are voluntarily halting disconnects over unpaid bills, but advocates warn there’s no legal obligation to do so amid the COVID-19 outbreak.",2020-03-14,0.0,0.0,0.30000000000000004,0.05
47,This Is What Happens When Stocks Enter A Bear Market,MONEY,"Experts say on average, bear markets have lasted 14 months in the period since World War II, while market corrections have lasted an average of five months.",2020-03-12,0.0,0.0,0.39999999999999997,-0.15
48,Cruise Lines Are Paying Customers Not To Cancel Despite Coronavirus Risk,MONEY,"Would you risk your health ― and potentially, your life ― for $100 in freebies?",2020-03-12,0.0,0.0,1.0,0.0
49,"Thanks To The Coronavirus, Now Is A Great Time To Refinance Your Debt",MONEY,The only catch? There's much more demand than lenders can reasonably handle.,2020-03-10,0.475,0.5,0.7000000000000001,0.2333333333333333
50,The Psychology Behind Panic-Buying – And How To Avoid It,MONEY,"People are stockpiling – or ""panic-buying"" – toilet paper, pasta, canned goods, hand sanitizer and soap. Why, and what impact is it having?",2020-03-10,0.7,-0.4,0.0,-0.03333333333333333
51,'Buy Nothing' Groups: Stop Spending Money And Just Ask For What You Need,MONEY,"These Facebook groups prohibit exchanging money and bartering, but they reduce waste and build communities.",2020-02-28,0.0,0.0,0.0,-0.2
52,Why Uber Fees Are More Expensive Depending On Location,MONEY,"From California to New York, local laws add to the cost of your Uber ride.",2020-02-25,0.6,0.0,0.22727272727272727,0.06818181818181818
53,What Is A Sinking Fund ― And Why Should You Have One?,MONEY,This special type of savings could help you plan for irregular expenses throughout the year.,2020-02-20,0.0,0.0,0.5714285714285714,0.35714285714285715
54,Who Is Responsible For Debt When You Get A Divorce Or Break Up?,MONEY,Here's how the debt gets split when splitting up.,2020-02-13,0.55,0.2,0.0,0.0
55,Can Debt Destroy A Relationship? Here's What Couples Counselors Say.,MONEY,It's never really about the money.,2020-02-12,0.0,-0.2,0.2,-0.1
56,What To Do If Your Spouse Isn't Serious About Paying Off Their Debt,MONEY,"You want the debt gone ASAP. Your spouse, not so much. Here's how to handle it.",2020-02-10,0.6666666666666666,-0.3333333333333333,0.2,0.2
57,"Renting Is Almost As Expensive As Owning A Home Now, Study Suggests",MONEY,"Rent went up 4 percent in 2019, while mortgage payments declined 1%.",2020-02-06,0.7,-0.5,0.0,0.0
58,Why Lower Interest Rates Haven't Made Buying A Home More Affordable,MONEY,New home sales unexpectedly fell for the third straight month in December.,2020-02-03,0.5,0.5,0.4636363636363636,0.1090909090909091
59,Always Strapped For Cash? The 'Paycheck Budget' Could Be A Gamechanger.,MONEY,Stop thinking about your money according to monthly budgets.,2020-01-17,0.0,0.3,0.0,0.0
60,How This Navy Vet Won A Watershed Student Loan Bankruptcy Ruling,MONEY,The case proves it's possible to discharge student loans in bankruptcy.,2020-01-13,0.0,0.0,0.5,0.15
61,10 Best Places To Retire Abroad In 2020,MONEY,Live your best expat life in one of these beautiful but affordable destinations.,2020-01-10,0.3,1.0,0.6,0.6621212121212121
62,The U.S. Mint Is Making A Fruit Bat Quarter Just When We Need It Most,MONEY,The new coin is the wholesome news people have been craving after a rough start to 2020.,2020-01-08,0.5,0.5,0.42727272727272725,0.018181818181818174
63,Why Concert Tickets Come With So Many Hidden Fees,MONEY,"Plus, who actually gets the money.",2019-12-21,0.41666666666666663,0.16666666666666669,0.1,0.0
64,"Airbnb Bans Open-Invite Parties, Unruly Guests After Fatal Halloween Shooting",BUSINESS,The company is revamping its guest standards and banning open-invite parties across the app after a shooting at a San Francisco rental left five people dead.,2019-12-06,0.0,0.0,0.2,-0.1
65,"How To Tell If That Phone Call From Social Security, The IRS Or Google Is A Scam",MONEY,It probably is.,2019-09-16,0.06666666666666667,0.03333333333333333,0.0,0.0
66,Phony Financial Experts Keep Popping Up All Over The Internet. Here's How To Spot Them.,MONEY,"Because frauds are everywhere, apparently.",2019-09-05,0.0,0.0,0.35,0.05
67,How To Recession-Proof Your Finances,MONEY,"President Trump doesn't believe a recession is coming, but economists disagree.",2019-08-27,0.0,0.0,0.0,0.0
68,Equifax Settled Its Big Data Breach Lawsuit. Here's How Much Consumers Could Get.,MONEY,"147 million people whose data was breached are eligible for five potential benefits, including money.",2019-07-24,0.15000000000000002,0.1,1.0,0.0
69,Americans In The Most Financially Distressed Zip Codes Are Trapped In A 'Really Troubling' Catch-22,MONEY,"People all over are held back by a lack of education, but obtaining it makes their financial situation worse.",2019-07-05,0.175,0.125,0.19999999999999998,-0.13333333333333333
70,6 Services You Probably Didn't Know Your Local Bank Branch Offers,MONEY,"From free notarization to low-cost currency exchange, your bank can save you time and money.",2019-07-01,0.0,0.05,0.8,0.4
71,"Everything You Need To Know About Libra, Facebook's New Cryptocurrency",MONEY,"The tech giant is entering the cryptocurrency space, but don't expect Libra to be another Bitcoin.",2019-06-20,0.45454545454545453,0.13636363636363635,1.0,0.0
72,What To Do If A Bill Is Sent To A Collection Agency,MONEY,It can happen to anyone.,2019-06-19,0.0,0.0,0.0,0.0
73,This Finance Book Just Might Change Your Life,MONEY,"The ""I Will Teach You To Be Rich"" title is polarizing, but the advice is on point.",2019-06-17,0.0,0.0,0.75,0.375
74,A Quarter Of Americans Are Doing 'Worse' Now Than Before The Great Recession,MONEY,Women aren't seeing the same financial recovery men are.,2019-06-13,0.675,0.2,0.0625,0.0
75,Prepare To Pay More For New Cars Thanks To Trump's Tariffs Against Mexico,MONEY,"""If you are in the market for a car, you’re going to have to delay your purchase or you’re going to have to go to used.""",2019-06-04,0.38484848484848483,0.2787878787878788,0.0,0.0
76,"Tax Credits, Free College And Other Proposals That Could Affect Your Wallet Next Year",MONEY,"It's not all good, though.",2019-05-18,0.39166666666666666,0.09166666666666667,0.6000000000000001,0.7
77,7 Scary Numbers That Show How Bad Student Loan Debt Is For Mental Health,MONEY,"One in 15 borrowers with exceptionally high debt loads have considered suicide, according to one survey.",2019-05-15,0.6222222222222221,-0.4333333333333333,0.5399999999999999,0.16
78,Brokerage Companies That Let You Trade For Free,MONEY,"It's possible to buy and sell stocks, ETFs and other investments with no commission.",2019-05-07,0.8,0.4,0.6875,-0.0625
79,8 College Degrees With The Lowest Unemployment Rates,MONEY,"These majors lead to jobs, according to a new survey.",2019-05-06,0.0,0.0,0.45454545454545453,0.13636363636363635
80,The Root Cause Of Your Money Problems Could Be An Actual Money Disorder,MONEY,"Look out for these tell-tale signs of compulsive spending, pathological gambling and other disorders.",2019-04-22,0.1,0.0,0.375,-0.125
81,"What Is The Dow Jones Industrial Average, And Why Does It Matter?",MONEY,President Trump's favorite market indicator doesn't tell the whole story.,2019-04-10,0.39999999999999997,-0.15,0.7,0.35
82,How To Find Missing Money And Property You Didn’t Realize You Own,MONEY,Billions of dollars in assets go unclaimed every year.,2019-04-03,0.525,0.19999999999999998,0.0,0.0
83,Here’s The Real Difference Between Good Debt And Bad Debt,MONEY,Are you creating a future opportunity or a future problem?,2019-03-13,0.5222222222222223,0.0666666666666667,0.125,0.0
84,SEC Says Elon Musk Violated Fraud Settlement With Tweet,BUSINESS,The U.S. Securities and Exchange Commission filed a motion asking for the Tesla CEO to show why he shouldn't be held in contempt.,2019-02-26,0.6,-0.1,0.0,0.0
85,"Johnson & Johnson Subpoenaed By DOJ, SEC Over Baby Powder Safety Concerns",BUSINESS,The subpoenas are related to litigation involving alleged asbestos contamination in Johnson & Johnson's Baby Powder product line.,2019-02-21,0.6,-0.1,0.25,-0.05
86,"Payless ShoeSource To Close All Remaining 2,100 Stores",BUSINESS,Expect liquidation sales as the stores wind down operations by spring.,2019-02-16,0.0,0.0,0.2888888888888889,-0.15555555555555559
87,Severance Pay Could Be The Next Big Progressive Labor Cause,BUSINESS,"A New Jersey bill, sparked by the Toys R Us and Sears layoffs, would require large companies to pay off workers they're dumping.",2019-02-12,0.05,0.0,0.44155844155844154,0.17532467532467533
88,The Fastest-Growing Job In Each State,MONEY,Solar panel installer is the fastest-growing job in eight different states.,2019-02-04,0.0,0.0,0.6,0.0
89,"General Motors About To Begin Laying Off 4,200 Salaried Workers",BUSINESS,"When cuts were first announced last year President Trump called them ""disappointing.""",2019-02-03,0.5,0.05000000000000002,0.36666666666666664,-0.11666666666666665
90,"U.S. Charges Chinese Tech Giant Huawei, Top Executive",BUSINESS,A 13-count indictment was unsealed in New York.,2019-01-28,0.5,0.16666666666666666,0.45454545454545453,0.13636363636363635
91,U.S. Stocks Suffer Worst Year Since 2008 Financial Crisis,BUSINESS,"Despite a dismal year, the market closed out 2018 on a bright note.",2018-12-31,0.5,-0.5,0.44999999999999996,0.30000000000000004
92,"7 Money-Saving Steps To Take Before Year's End, According To Experts",MONEY,"Maximize your savings on taxes, retirement and more.",2018-12-29,0.0,0.0,0.5,0.5
93,"Florida Sues Walgreens, CVS, Alleging They Added To State's Opioid Crisis",BUSINESS,The pharmacies are accused of failing to stop opioid orders that were suspicious or of an unreasonable amount.,2018-11-18,0.0,0.0,0.0,0.0
94,"Google Shutters Google+ After Security Flaw Exposed Data Of At Least 500,000 Users",BUSINESS,The company had known about the glitch since March but failed to inform the public.,2018-10-09,0.4,-0.3,0.18333333333333332,-0.25
95,How To Prevent Child Identity Theft By Freezing Your Kid's Credit,MONEY,More than 1 million kids were victims of identity theft last year.,2018-09-30,0.0,0.0,0.2833333333333333,0.25
96,Federal Reserve Raises Interest Rates For The 3rd Time This Year,BUSINESS,Three more rate hikes are slated for 2019.,2018-09-27,0.0,0.0,0.5,0.5
97,Why You Should Mention Default When Negotiating Private Student Loan Debt,MONEY,It could prompt your lender to cut you a deal.,2018-08-17,0.375,0.0,0.0,0.0
98,Virtual Credit Cards Defend Against Fraud And Keep 'Free Trials' Free,MONEY,They also can be used for other things like budgeting.,2018-08-10,0.8,0.4,0.375,-0.125
99,Uber Driver Suspended After Secretly Livestreaming Passengers On Twitch,BUSINESS,Jason Gargac reportedly filmed more than 700 rides for online audiences without his passengers' knowledge.,2018-07-22,0.7,-0.4,0.5,0.5
100,How This Former Landscaper Raised His Low Credit Score From 550 To 800,MONEY,"He has four tips you can use to improve your own credit, too.",2018-07-18,0.15,0.0,1.0,0.6
101,Starbucks Announces Plans To Close 150 Underperforming Stores,BUSINESS,No word yet on how many workers will lose their jobs when the stores close.,2018-06-20,0.0,0.0,0.5,0.5
102,How To Tip In These 10 Confusing Situations,MONEY,"Furniture delivery, coffee shops and hair salons all come with unique sets of rules.",2018-06-19,0.4,-0.3,1.0,0.375
103,Amazon To Offer Whole Foods Discounts To Prime Members In 23 States,MONEY,One thing many Whole Foods employees need to get used to — the Prime Blue on posters and stickers in the typically green-themed stores.,2018-06-11,0.4,0.2,0.375,0.13333333333333333
104,"U.S. Launches Auto Import Probe, China Vows To Defend Its Interests",BUSINESS,The investigation could lead to new U.S. tariffs similar to those imposed on imported steel and aluminum in March.,2018-05-24,0.0,0.0,0.42727272727272725,0.06818181818181818
105,Starbucks Says Anyone Can Now Sit In Its Cafes -- Even Without Buying Anything,BUSINESS,The new policy was unveiled weeks after the controversial arrest of two black men at a Philadelphia Starbucks.,2018-05-20,0.0,0.0,0.459469696969697,0.11742424242424243
106,Seattle Passes Controversial New Tax On City's Biggest Companies To Combat Housing Crisis,BUSINESS,"Following the council vote, Amazon’s vice president, Drew Herdener, said the company has resumed construction planning for its so-called Block 18 project in downtown Seattle.",2018-05-15,0.7022727272727273,0.3431818181818182,0.1,0.0
107,"Uber Ends Forced Arbitration In Individual Cases Of Sexual Assault, Harassment",BUSINESS,Victims will be free to go to court -- but a few caveats remain.,2018-05-15,0.47777777777777786,0.06666666666666665,0.45,0.1
108,"Chili's Hit By Data Breach, Credit And Debit Card Information Compromised",BUSINESS,The breach is believed to have occurred between March and April.,2018-05-14,0.0,0.0,0.0,0.0
109,How Uber Silences Women After Sexual Assaults,BUSINESS,"Just by using the app, you click away your rights. Now some victims are fighting for change.",2018-05-12,0.8333333333333334,0.5,0.0,0.0
110,How Amazon Is Holding Seattle Hostage,BUSINESS,"The city wants to tax large corporations to pay for homeless housing, but Jeff Bezos isn't pleased.",2018-05-12,0.0,0.0,0.5095238095238095,0.30476190476190473
111,Bank Of America Appears To Flip On Firearm Promise With Loan To Remington,BUSINESS,The bank pledged in April to stop financing companies that sell military-style firearms to civilians. Remington made the Bushmaster rifle used in the Sandy Hook school massacre.,2018-05-08,0.0,0.0,0.0,0.0
112,Ex-Volkswagen CEO Charged In U.S. Over Emissions Cheating Scandal,BUSINESS,Martin Winterkorn resigned soon after the scandal became public in 2015.,2018-05-03,0.0,0.0,0.06666666666666667,0.0
113,"Women Describe Rampant Groping, Sexual Harassment At Verizon-Contracted Warehouse",BUSINESS,Verizon launched an investigation soon after HuffPost reached out for comment.,2018-05-02,0.8333333333333334,0.5,0.0,0.0
114,T-Mobile Agrees To Acquire Sprint For $26 Billion,BUSINESS,U.S. regulators are expected to grill the companies on how they will price their combined wireless offerings.,2018-04-29,0.0,0.0,0.4,-0.1
115,The SEC Just Made The Case For Divesting From Fossil Fuel Companies Much Stronger,BUSINESS,"The agency's ruling in a little-noticed case last month has knocked the wind out of the push for shareholder activism, a favorite neoliberal tactic to address climate change.",2018-04-17,0.4,0.05,0.5333333333333333,0.25
116,Dick's Sporting Goods Is Destroying Its Unsold Assault-Style Rifles,BUSINESS,The company pulled assault-style weapons and accessories from their stores in February.,2018-04-17,0.0,-0.2,0.0,0.0
117,Facebook Didn’t Seem To Care I Was Being Sexually Harassed Until I Decided To Write About It,BUSINESS,"Two months ago, a pro-Trump Facebook group posted my photo and asked its 72,000 members if they would ""smash or pass.""",2018-04-17,0.8333333333333334,0.5,0.0,0.0
118,"In Los Angeles, Bitter Tensions Over Where To House The Homeless Rile Communities",BUSINESS,"Voters approved a plan for supportive housing, but disputes over where to put it have stalled progress.",2018-04-14,0.5,-0.1,1.0,0.5
119,The Libertarian Political Movement Is Dead,BUSINESS,American democracy doesn't look much better.,2018-04-11,0.25,-0.1,0.25,0.25
120,Apple Co-Founder Steve Wozniak Ditches Facebook After Data Scandal,BUSINESS,"""It's brought me more negatives than positives.""",2018-04-09,0.0,0.0,0.5,0.5
121,Twitter Has Suspended 1.2 Million Accounts For 'Terrorist Content',BUSINESS,The company touts improved in-house tracking tools for steering abusive accounts away from the site.,2018-04-06,0.0,0.0,0.0,0.0
122,Trump Proposes Slapping $100 Billion In New Tariffs On Chinese Goods,BUSINESS,"The additional tariffs were being considered “in light of China’s unfair retaliation” against earlier U.S. trade actions, Trump said.",2018-04-06,0.22727272727272727,0.06818181818181818,0.7333333333333334,-0.033333333333333326
123,The Facebook Apology Tour Continues,BUSINESS,Mark Zuckerberg spoke with reporters on topics including trust in the site and trust in his own leadership.,2018-04-05,0.0,0.0,1.0,0.6
124,"Saks, Lord & Taylor Hit By Payment Card Data Breach",BUSINESS,Toronto-based Hudson’s Bay did not say when the breach had begun or how many payment card numbers were taken.,2018-04-01,0.0,0.0,0.5,0.5
125,International Health Group Drops Partnership With Heineken Over 'Beer Girls',BUSINESS,"Heineken needs to ""take appropriate action,"" said the group's director.",2018-03-31,0.0,0.0,0.3,0.3
126,"MyFitnessPal Security Breach Affects 150 Million Users, Under Armour Reports",BUSINESS,The company alerted its app users four days after learning of the hack.,2018-03-30,0.0,0.0,0.0,0.0
127,These Stock Photos Show Masculinity Is More Than Biceps And Beer,BUSINESS,"Discarding gender stereotypes, new collections feature male nurses and stay-at-home dads, along with guys who wear makeup and jewelry.",2018-03-29,0.5,0.5,0.2772727272727273,0.06818181818181818
128,Trapped Inside The Monster Energy Frat House,BUSINESS,A woman who worked at the drink company said she was sexually harassed and abruptly fired. This is what can happen when a boys club runs amok.,2018-03-29,0.0,-0.2,0.9166666666666667,0.1875
129,There Are Psychological Reasons Parents Are So Obsessed With Target,BUSINESS,"Marketing experts, therapists and parents weigh in.",2018-03-29,0.55,-0.25,0.0,0.0
130,Walmart Partners With Conservative Group To Remove Cosmo From Checkout Lines,BUSINESS,"“The real world took another step toward its slow and sure conversion to The Handmaid’s Tale this week,” a Vogue editor responded.",2018-03-28,0.0,0.0,0.5296296296296296,0.13333333333333333
131,"Uber Halts Self-Driving Car Tests In California, Where It Didn't Test Much Anyway",BUSINESS,The consequences of a fatal crash in Arizona continue.,2018-03-27,0.2,0.2,0.0,0.0
132,Remington Files For Chapter 11 Bankruptcy Amid Mounting Pressure For More Gun Control,BUSINESS,The company listed assets in the range of $500 million to $1 billion and liabilities in the range of $500 million and $1 billion.,2018-03-26,0.5,0.5,0.0,0.0
133,"Elon Musk's Estranged Father Has Child With Stepdaughter, Says It's 'God's Plan'",BUSINESS,The young woman was only 4 years old when Errol Musk married her mother.,2018-03-26,0.0,0.0,0.46249999999999997,0.1125
134,YouTube Quietly Escalates Crackdown On Firearm Videos,BUSINESS,The video site is expanding restrictions following the Florida massacre.,2018-03-22,0.3333333333333333,0.0,0.1,0.0
135,Dow Plunges Amid Wall Street Fears About Trade War,BUSINESS,The drop comes on the heels of an action by President Donald Trump to impose tariffs on up to $60 billion of Chinese imports.,2018-03-22,0.0,0.0,0.05,0.05
136,"Toys R Us Founder Charles Lazarus, 94, Dies As His Empire Comes To A Close",BUSINESS,Lazarus was 94 years old.,2018-03-22,0.0,0.0,0.2,0.1
137,Mark Zuckerberg Addresses Cambridge Analytica Incident As Facebook Fumbles,BUSINESS,We've been burned many times before. Why should we trust Facebook again?,2018-03-21,0.0,0.0,0.5,0.5
138,Weinstein Company Files For Bankruptcy After Sale Talks Collapse,BUSINESS,The embattled film studio said Monday that it was also ending all non-disclosure agreements.,2018-03-20,0.0,0.0,0.0,0.0
